,Average number susceptibles
0.001,99.45053647
0.002,99.89065456
0.003,100.329707
0.004,100.7670295
0.005,101.2018657
0.006,101.6333606
0.007,102.0605401
0.008,102.4823002
0.009,102.8973901
0.01,103.304392
0.011,103.7017025
0.012,104.0875076
0.013,104.4597565
0.014,104.8161386
0.015,105.1540511
0.016,105.4705682
0.017,105.7624085
0.018,106.0259021
0.019,106.2569566
0.02,106.4510263
0.021,106.6030828
0.022,106.7075909
0.023,106.7585054
0.024,106.7492454
0.025,106.6727465
0.026,106.5214744
0.027,106.2875054
0.028,105.9626269
0.029,105.538491
0.03,105.0068164
0.031,104.3596311
0.032,103.5895843
0.033,102.690319
0.034,101.6568629
0.035,100.4860713
0.036,99.17707618
0.037,97.73168563
0.038,96.15475802
0.039,94.45442325
0.04,92.64219753
0.041,90.73285856
0.042,88.74420586
0.043,86.69652485
0.044,84.61192561
0.045,82.51352682
0.046,80.42456067
0.047,78.36747202
0.048,76.36308318
0.049,74.42991327
0.05,72.58360047
0.051,70.83667708
0.052,69.19838346
0.053,67.67467697
0.054,66.26857731
0.055,64.980402
0.056,63.80819071
0.057,62.74812784
0.058,61.79496585
0.059,60.94239228
0.06,60.1835675
0.061,59.5110781
0.062,58.91753619
0.063,58.39562183
0.064,57.9382434
0.065,57.53865809
0.066,57.19056148
0.067,56.88810166
0.068,56.62591993
0.069,56.39914882
0.07,56.20337553
0.071,56.03468144
0.072,55.88954181
0.073,55.76483946
0.074,55.65782314
0.075,55.56607116
0.076,55.4874622
0.077,55.42014316
0.078,55.36250104
0.079,55.31313534
0.08,55.27083283
0.081,55.23454647
0.082,55.20337424
0.083,55.17653933
0.084,55.1533767
0.085,55.13331669
0.086,55.11587406
0.087,55.10063377
0.088,55.08724437
0.089,55.07540567
0.09,55.0648654
0.091,55.0554089
0.092,55.04685624
0.093,55.03905494
0.094,55.03187768
0.095,55.02521743
0.096,55.01898444
0.097,55.01310406
0.098,55.0075138
0.099,55.00216203
0.1,54.99700569
0.101,54.99200907
0.102,54.98714289
0.103,54.98238267
0.104,54.97770849
0.105,54.97310369
0.106,54.96855479
0.107,54.96405123
0.108,54.95958356
0.109,54.95514462
0.11,54.95072798
0.111,54.94632866
0.112,54.94194287
0.113,54.93756719
0.114,54.93319901
0.115,54.92883599
0.116,54.92447636
0.117,54.92011833
0.118,54.91576083
0.119,54.91140153
0.12,54.90704343
0.121,54.90268236
0.122,54.89831817
0.123,54.89395064
0.124,54.88957943
0.125,54.88520376
0.126,54.88082366
0.127,54.87643767
0.128,54.87204646
0.129,54.86764948
0.13,54.86324622
0.131,54.85883616
0.132,54.85441879
0.133,54.84999358
0.134,54.84556061
0.135,54.8411199
0.136,54.8366709
0.137,54.83221314
0.138,54.82774649
0.139,54.82327039
0.14,54.81878468
0.141,54.81428899
0.142,54.80978322
0.143,54.80526646
0.144,54.80073901
0.145,54.79620048
0.146,54.79165049
0.147,54.78708869
0.148,54.78251469
0.149,54.77792814
0.15,54.77332865
0.151,54.76871585
0.152,54.76408937
0.153,54.75944887
0.154,54.75479396
0.155,54.75012427
0.156,54.74543943
0.157,54.74073904
0.158,54.73602273
0.159,54.7312902
0.16,54.72654234
0.161,54.72177991
0.162,54.71700148
0.163,54.71220583
0.164,54.70739206
0.165,54.70255967
0.166,54.69770904
0.167,54.6928403
0.168,54.68795324
0.169,54.68304729
0.17,54.67812179
0.171,54.67317676
0.172,54.6682118
0.173,54.6632265
0.174,54.65822047
0.175,54.65319347
0.176,54.64814521
0.177,54.64307539
0.178,54.63798371
0.179,54.63286997
0.18,54.62773393
0.181,54.62257533
0.182,54.6173939
0.183,54.61218941
0.184,54.60696159
0.185,54.60171009
0.186,54.5964339
0.187,54.59113325
0.188,54.58580786
0.189,54.58045743
0.19,54.57508166
0.191,54.56968026
0.192,54.56425293
0.193,54.55879936
0.194,54.55331926
0.195,54.54781233
0.196,54.54227824
0.197,54.53671672
0.198,54.53112743
0.199,54.52551009
0.2,54.5198648
